日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-02-02,'399300,沪深300,4271.2326,4271.7647,4181.7793,4213.9386,4245.8978,25.3348,0.5967,,14606682700,1.91169867288e+11,,
2018-02-01,'399300,沪深300,4245.8978,4287.3888,4214.2909,4276.3425,4275.8986,-30.0008,-0.7016,,19000293400,2.39230298932e+11,,
2018-01-31,'399300,沪深300,4275.8986,4287.8576,4232.7727,4234.1101,4256.1021,19.7965,0.4651,,14521016400,1.94401798025e+11,,
2018-01-30,'399300,沪深300,4256.1021,4308.5115,4251.5706,4286.6834,4302.0181,-45.916,-1.0673,,13903473000,1.86650566154e+11,,
2018-01-29,'399300,沪深300,4302.0181,4395.9053,4287.1124,4387.0577,4381.2996,-79.2815,-1.8095,,19110035400,2.56176323789e+11,,
2018-01-26,'399300,沪深300,4381.2996,4403.3375,4351.4871,4352.2211,4365.0794,16.2202,0.3716,,17722723700,2.23331309122e+11,,
2018-01-25,'399300,沪深300,4365.0794,4392.1963,4336.2386,4381.9768,4389.8853,-24.8059,-0.5651,,19537495000,2.5030809187e+11,,
2018-01-24,'399300,沪深300,4389.8853,4397.8196,4349.0865,4389.4547,4382.6129,7.2724,0.1659,,21981888900,2.8447080953e+11,,
2018-01-23,'399300,沪深300,4382.6129,4383.5722,4346.7925,4346.8885,4336.5974,46.0155,1.0611,,20186758500,2.57113359897e+11,,
2018-01-22,'399300,沪深300,4336.5974,4338.4832,4275.8977,4276.4811,4285.395,51.2024,1.1948,,17464319500,2.33960223311e+11,,
2018-01-19,'399300,沪深300,4285.395,4316.5714,4269.6167,4281.9371,4271.4168,13.9782,0.3272,,20949057000,2.5855472536e+11,,
2018-01-18,'399300,沪深300,4271.4168,4292.6372,4246.684,4259.375,4248.1164,23.3004,0.5485,,17203284600,2.25289688909e+11,,
2018-01-17,'399300,沪深300,4248.1164,4283.3449,4230.5367,4261.7833,4258.473,-10.3566,-0.2432,,21431103200,2.84554359815e+11,,
2018-01-16,'399300,沪深300,4258.473,4260.2118,4213.1275,4215.6247,4225.2393,33.2337,0.7866,,16149496300,2.28271224756e+11,,
2018-01-15,'399300,沪深300,4225.2393,4262.9314,4216.3585,4229.8357,4225.001,0.2383,0.0056,,17090789700,2.34986586088e+11,,
2018-01-12,'399300,沪深300,4225.001,4227.3923,4199.0251,4205.1444,4205.5863,19.4147,0.4616,,11135479400,1.57606210635e+11,,
2018-01-11,'399300,沪深300,4205.5863,4211.799,4181.9572,4197.1136,4207.8132,-2.2269,-0.0529,,12157853900,1.70407305946e+11,,
2018-01-10,'399300,沪深300,4207.8132,4211.0549,4175.1355,4187.2044,4189.2977,18.5155,0.442,,15112166600,1.94850253886e+11,,
2018-01-09,'399300,沪深300,4189.2977,4191.2843,4153.5021,4157.5394,4160.1595,29.1382,0.7004,,13903429400,1.81975079758e+11,,
2018-01-08,'399300,沪深300,4160.1595,4166.3182,4127.3081,4140.8545,4138.7505,21.409,0.5173,,17387766600,2.26403872932e+11,,
2018-01-05,'399300,沪深300,4138.7505,4151.2818,4123.2817,4133.3439,4128.8119,9.9386,0.2407,,14900987200,1.85206293226e+11,,
2018-01-04,'399300,沪深300,4128.8119,4137.642,4105.8858,4114.1213,4111.3925,17.4194,0.4237,,13454379400,1.74523556133e+11,,
2018-01-03,'399300,沪深300,4111.3925,4140.0543,4088.7302,4091.4607,4087.4012,23.9913,0.587,,15185221800,2.05726889556e+11,,
2018-01-02,'399300,沪深300,4087.4012,4087.7789,4045.2086,4045.2086,4030.8549,56.5463,1.4028,,14693543500,1.78402032874e+11,,
2017-12-29,'399300,沪深300,4030.8549,4043.14,4012.8749,4022.8826,4018.8974,11.9575,0.2975,,9048668300,1.21257038529e+11,,
2017-12-28,'399300,沪深300,4018.8974,4036.6975,3980.2358,3992.997,3991.2075,27.6899,0.6938,,11854288600,1.53636695762e+11,,
2017-12-27,'399300,沪深300,3991.2075,4047.7366,3986.7385,4045.2793,4053.6224,-62.4149,-1.5397,,10515357700,1.40516907102e+11,,
2017-12-26,'399300,沪深300,4053.6224,4056.8554,4015.2996,4040.6173,4041.5401,12.0823,0.299,,9111879000,1.19725100617e+11,,
2017-12-25,'399300,沪深300,4041.5401,4086.9342,4026.4496,4057.4173,4054.5984,-13.0583,-0.3221,,9192696200,1.29938839152e+11,,
2017-12-22,'399300,沪深300,4054.5984,4076.8028,4048.4913,4064.9131,4067.8485,-13.2501,-0.3257,,7347368400,1.04426496022e+11,,
2017-12-21,'399300,沪深300,4067.8485,4080.781,4014.6526,4023.076,4030.4898,37.3587,0.9269,,9683608900,1.37819520871e+11,,
2017-12-20,'399300,沪深300,4030.4898,4044.8485,4015.6285,4036.019,4035.3294,-4.8396,-0.1199,,9060450300,1.26812878124e+11,,
2017-12-19,'399300,沪深300,4035.3294,4035.6296,3985.8233,3985.8233,3985.2914,50.038,1.2556,,7752898500,1.15998204342e+11,,
2017-12-18,'399300,沪深300,3985.2914,4008.0688,3967.9343,3983.2965,3980.8558,4.4356,0.1114,,7785337500,1.11724349856e+11,,
2017-12-15,'399300,沪深300,3980.8558,4020.2668,3974.9277,4018.7313,4026.1516,-45.2958,-1.125,,8904438900,1.18474144231e+11,,
2017-12-14,'399300,沪深300,4026.1516,4057.6245,4013.8546,4050.9028,4050.0927,-23.9411,-0.5911,,8076886200,1.15086944924e+11,,
2017-12-13,'399300,沪深300,4050.0927,4052.6878,4004.7436,4013.8319,4016.0163,34.0764,0.8485,,7754613100,1.1500638336e+11,,
2017-12-12,'399300,沪深300,4016.0163,4070.1503,4015.4546,4068.5053,4069.4997,-53.4834,-1.3143,,8433871800,1.23515183182e+11,,
2017-12-11,'399300,沪深300,4069.4997,4069.4997,4005.2687,4006.8784,4003.3792,66.1205,1.6516,,9714894600,1.48476588468e+11,,
2017-12-08,'399300,沪深300,4003.3792,4014.1387,3955.44,3962.8288,3971.0569,32.3223,0.8139,,8928286100,1.24371230332e+11,,
2017-12-07,'399300,沪深300,3971.0569,4017.9465,3955.9939,4003.5826,4015.8211,-44.7642,-1.1147,,9025404500,1.19651201504e+11,,
2017-12-06,'399300,沪深300,4015.8211,4031.7533,3964.8087,4027.1231,4040.1704,-24.3493,-0.6027,,10928620500,1.4411495418e+11,,
2017-12-05,'399300,沪深300,4040.1704,4045.9331,4006.5432,4007.9361,4018.8571,21.3133,0.5303,,15408707600,1.96337660258e+11,,
2017-12-04,'399300,沪深300,4018.8571,4032.9859,3982.3182,3989.0466,3998.1365,20.7206,0.5183,,10264721900,1.38223055525e+11,,
2017-12-01,'399300,沪深300,3998.1365,4027.1064,3984.3776,4003.5604,4006.0993,-7.9628,-0.1988,,9738691300,1.36010927567e+11,,
2017-11-30,'399300,沪深300,4006.0993,4052.797,3988.0018,4034.0091,4053.7529,-47.6536,-1.1755,,10798334500,1.45829948321e+11,,
2017-11-29,'399300,沪深300,4053.7529,4069.2418,4004.687,4061.3545,4055.8235,-2.0706,-0.0511,,12455364200,1.65743341284e+11,,
2017-11-28,'399300,沪深300,4055.8235,4056.4753,4010.2955,4034.2057,4049.9475,5.876,0.1451,,10205809500,1.35539647289e+11,,
2017-11-27,'399300,沪深300,4049.9475,4088.9318,4037.1457,4088.9318,4104.2034,-54.2559,-1.322,,14345526800,1.83004551222e+11,,
2017-11-24,'399300,沪深300,4104.2034,4116.5942,4057.4894,4089.4723,4102.3966,1.8068,0.044,,13085804000,1.82912191367e+11,,
2017-11-23,'399300,沪深300,4102.3966,4214.1895,4086.9018,4213.3781,4227.5666,-125.17,-2.9608,,17814722800,2.37536704704e+11,,
2017-11-22,'399300,沪深300,4227.5666,4260.6395,4191.145,4228.3721,4217.7015,9.8651,0.2339,,18647700300,2.5429836169e+11,,
2017-11-21,'399300,沪深300,4217.7015,4220.2636,4129.9783,4131.8482,4143.8334,73.8681,1.7826,,18035082100,2.53302199628e+11,,
2017-11-20,'399300,沪深300,4143.8334,4144.5144,4060.9636,4093.734,4120.8508,22.9826,0.5577,,13744725800,1.91589637482e+11,,
2017-11-17,'399300,沪深300,4120.8508,4122.3756,4081.3723,4094.0787,4105.0122,15.8386,0.3858,,19178411900,2.53079314045e+11,,
2017-11-16,'399300,沪深300,4105.0122,4107.617,4062.2734,4063.4943,4073.6696,31.3426,0.7694,,12138441400,1.7290388058e+11,,
2017-11-15,'399300,沪深300,4073.6696,4102.8071,4055.7167,4084.2131,4099.351,-25.6814,-0.6265,,12063569600,1.77753075436e+11,,
2017-11-14,'399300,沪深300,4099.351,4133.5462,4086.8903,4129.2736,4128.0733,-28.7223,-0.6958,,14323693600,1.99605009025e+11,,
2017-11-13,'399300,沪深300,4128.0733,4137.6455,4115.5507,4115.5507,4111.9112,16.1621,0.3931,,15144630900,2.05930794541e+11,,
2017-11-10,'399300,沪深300,4111.9112,4116.7142,4067.657,4070.2763,4075.8998,36.0114,0.8835,,14181716500,1.98869833811e+11,,
2017-11-09,'399300,沪深300,4075.8998,4076.6102,4038.4004,4043.0663,4048.0057,27.8941,0.6891,,12105633500,1.59247198176e+11,,
2017-11-08,'399300,沪深300,4048.0057,4089.1457,4040.5772,4051.4935,4054.2465,-6.2408,-0.1539,,15082771900,2.00949740671e+11,,
2017-11-07,'399300,沪深300,4054.2465,4064.2178,4021.3639,4022.4018,4020.8896,33.3569,0.8296,,15211666300,1.93990974032e+11,,
2017-11-06,'399300,沪深300,4020.8896,4021.6382,3975.4069,3989.1824,3992.6979,28.1917,0.7061,,12208115900,1.58911861111e+11,,
2017-11-03,'399300,沪深300,3992.6979,3999.3373,3963.0263,3992.3496,3997.1343,-4.4364,-0.111,,12940443900,1.58142056585e+11,,
2017-11-02,'399300,沪深300,3997.1343,3999.2262,3971.3761,3994.0946,3996.6221,0.5122,0.0128,,12610057900,1.5198136364e+11,,
2017-11-01,'399300,沪深300,3996.6221,4032.4581,3991.3235,4007.9116,4006.7179,-10.0958,-0.252,,13041738000,1.66477138571e+11,,
2017-10-31,'399300,沪深300,4006.7179,4009.2828,3983.2565,3995.3935,4009.7218,-3.0039,-0.0749,,10917877900,1.42897206949e+11,,
2017-10-30,'399300,沪深300,4009.7218,4033.3394,3960.2698,4022.1641,4021.9676,-12.2458,-0.3045,,15738760300,1.93489838439e+11,,
2017-10-27,'399300,沪深300,4021.9676,4024.4645,3991.354,3992.5539,3993.5752,28.3924,0.711,,12667284600,1.52974831071e+11,,
2017-10-26,'399300,沪深300,3993.5752,4013.5988,3973.5535,3980.0479,3976.949,16.6262,0.4181,,12989546500,1.70488618586e+11,,
2017-10-25,'399300,沪深300,3976.949,3978.0893,3954.0011,3958.1669,3959.3953,17.5537,0.4433,,8820545800,1.06820309535e+11,,
2017-10-24,'399300,沪深300,3959.3953,3959.4951,3922.0288,3926.2299,3930.7981,28.5972,0.7275,,9305815400,1.20192150584e+11,,
2017-10-23,'399300,沪深300,3930.7981,3936.2729,3920.6562,3930.8914,3926.852,3.9461,0.1005,,8148498000,1.00280911371e+11,,
2017-10-20,'399300,沪深300,3926.852,3928.9607,3910.1974,3918.5265,3931.2495,-4.3975,-0.1119,,7298018000,94529636639.4,,
2017-10-19,'399300,沪深300,3931.2495,3944.0349,3923.6455,3940.5831,3944.1626,-12.9131,-0.3274,,10652725200,1.33189855169e+11,,
2017-10-18,'399300,沪深300,3944.1626,3944.4106,3914.8152,3914.8152,3913.0688,31.0938,0.7946,,10096984100,1.2642037966e+11,,
2017-10-17,'399300,沪深300,3913.0688,3924.6141,3900.4758,3910.7894,3913.4462,-0.3774,-0.0096,,8224122700,1.06708451684e+11,,
2017-10-16,'399300,沪深300,3913.4462,3947.4239,3913.3224,3926.2754,3921.0017,-7.5555,-0.1927,,12135503300,1.50823756592e+11,,
2017-10-13,'399300,沪深300,3921.0017,3927.1744,3908.8885,3912.975,3912.9536,8.0481,0.2057,,9014206800,1.14314854703e+11,,
2017-10-12,'399300,沪深300,3912.9536,3917.4435,3897.5472,3902.0156,3902.6868,10.2668,0.2631,,9434092100,1.23147248618e+11,,
2017-10-11,'399300,沪深300,3902.6868,3913.0695,3885.497,3886.8184,3889.8637,12.8231,0.3297,,10441815100,1.44152740056e+11,,
2017-10-10,'399300,沪深300,3889.8637,3900.7418,3855.4666,3883.0037,3882.2076,7.6561,0.1972,,11253258600,1.57979737603e+11,,
2017-10-09,'399300,沪深300,3882.2076,3918.8391,3876.0322,3910.1149,3836.5013,45.7063,1.1914,,13553585100,1.71941460832e+11,,
2017-09-29,'399300,沪深300,3836.5013,3852.2236,3825.2021,3825.2021,3822.5386,13.9627,0.3653,,9330602800,1.16056776566e+11,,
2017-09-28,'399300,沪深300,3822.5386,3827.3308,3813.7532,3821.5904,3821.2,1.3386,0.035,,9354406900,1.15646338522e+11,,
2017-09-27,'399300,沪深300,3821.2,3832.566,3818.8147,3818.9646,3820.7816,0.4184,0.011,,8565581100,1.09299492247e+11,,
2017-09-26,'399300,沪深300,3820.7816,3821.6928,3808.3827,3810.3333,3817.7915,2.9901,0.0783,,8186940700,1.01036334815e+11,,
2017-09-25,'399300,沪深300,3817.7915,3835.3894,3811.1192,3829.219,3837.7304,-19.9389,-0.5195,,10394897600,1.35980239129e+11,,
2017-09-22,'399300,沪深300,3837.7304,3842.252,3816.8225,3826.4589,3837.8176,-0.0872,-0.0023,,10061980200,1.28360894859e+11,,
2017-09-21,'399300,沪深300,3837.8176,3860.7977,3837.384,3843.2577,3842.4353,-4.6177,-0.1202,,11109819200,1.44132893229e+11,,
2017-09-20,'399300,沪深300,3842.4353,3850.9426,3827.8858,3830.1549,3832.1161,10.3192,0.2693,,10112954200,1.35041882371e+11,,
2017-09-19,'399300,沪深300,3832.1161,3857.303,3820.2885,3849.8794,3843.1428,-11.0267,-0.2869,,11243298700,1.45528457523e+11,,
2017-09-18,'399300,沪深300,3843.1428,3862.3589,3832.9626,3832.9626,3831.2965,11.8463,0.3092,,11793440500,1.52841028494e+11,,
2017-09-15,'399300,沪深300,3831.2965,3843.297,3818.5234,3826.1448,3829.9554,1.3411,0.035,,12242700600,1.5347721518e+11,,
2017-09-14,'399300,沪深300,3829.9554,3854.4931,3820.0876,3843.572,3842.6061,-12.6507,-0.3292,,11535858300,1.43111639152e+11,,
2017-09-13,'399300,沪深300,3842.6061,3847.7841,3822.9441,3835.5493,3837.9341,4.672,0.1217,,9541078500,1.26254360933e+11,,
2017-09-12,'399300,沪深300,3837.9341,3849.3885,3822.0037,3832.2422,3825.6453,12.2888,0.3212,,14419024200,1.8760531203e+11,,
2017-09-11,'399300,沪深300,3825.6453,3850.7409,3817.5108,3828.3422,3825.9895,-0.3442,-0.009,,12388399700,1.54793900773e+11,,
2017-09-08,'399300,沪深300,3825.9895,3843.0186,3813.9833,3830.0707,3829.8713,-3.8818,-0.1014,,10603650400,1.34958583983e+11,,
2017-09-07,'399300,沪深300,3829.8713,3858.1617,3828.835,3851.688,3849.4499,-19.5786,-0.5086,,12388418100,1.56113397125e+11,,
2017-09-06,'399300,沪深300,3849.4499,3858.2481,3831.3835,3846.7471,3857.0464,-7.5965,-0.197,,13139872300,1.55883314756e+11,,
2017-09-05,'399300,沪深300,3857.0464,3865.2938,3841.9514,3845.5451,3845.6163,11.4301,0.2972,,12496415500,1.45779755314e+11,,
2017-09-04,'399300,沪深300,3845.6163,3847.0906,3813.5537,3828.5447,3830.5383,15.078,0.3936,,14956632000,1.75551068278e+11,,
2017-09-01,'399300,沪深300,3830.5383,3843.6176,3818.1586,3825.3392,3822.0928,8.4455,0.221,,15864551100,1.82770431967e+11,,
2017-08-31,'399300,沪深300,3822.0928,3840.199,3800.8861,3835.8394,3834.3005,-12.2077,-0.3184,,13294493500,1.57079216083e+11,,
2017-08-30,'399300,沪深300,3834.3005,3854.7062,3827.8607,3834.2682,3834.5376,-0.2371,-0.0062,,14135285700,1.66235122004e+11,,
2017-08-29,'399300,沪深300,3834.5376,3847.9303,3825.7597,3839.1779,3842.7119,-8.1743,-0.2127,,12822707000,1.58978683685e+11,,
2017-08-28,'399300,沪深300,3842.7119,3866.9422,3805.6567,3805.6567,3795.7544,46.9575,1.2371,,18557632500,2.36446280855e+11,,
2017-08-25,'399300,沪深300,3795.7544,3795.9693,3736.2916,3736.2916,3734.6458,61.1086,1.6363,,12994090000,1.50697083062e+11,,
2017-08-24,'399300,沪深300,3734.6458,3765.7082,3729.0876,3755.8902,3756.0884,-21.4426,-0.5709,,8994737200,1.07736019091e+11,,
2017-08-23,'399300,沪深300,3756.0884,3772.4568,3741.7204,3747.6108,3752.298,3.7904,0.101,,10496157300,1.2408115571e+11,,
2017-08-22,'399300,沪深300,3752.298,3758.2924,3734.5556,3745.7543,3740.9941,11.3039,0.3022,,10029285600,1.31131078398e+11,,
