日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-26,'399307,深证转债,191.6822,192.1395,191.1625,191.5485,191.4865,0.1957,0.1022,,4891199,512406147.931,,
2018-01-25,'399307,深证转债,191.4865,191.9322,189.5327,189.5327,189.5787,1.9078,1.0063,,7160037,743034134.523,,
2018-01-24,'399307,深证转债,189.5787,189.5932,187.9129,187.9954,188.0245,1.5542,0.8266,,3965334,403408272.655,,
2018-01-23,'399307,深证转债,188.0245,188.2967,187.3681,187.8975,187.5066,0.5179,0.2762,,2953724,302123248.662,,
2018-01-22,'399307,深证转债,187.5066,187.6527,185.0705,185.2946,185.1969,2.3097,1.2472,,2952880,313359809.36,,
2018-01-19,'399307,深证转债,185.1969,185.6881,184.6927,184.8541,185.0765,0.1204,0.0651,,1781952,181597265.692,,
2018-01-18,'399307,深证转债,185.0765,185.111,184.066,184.1763,184.4281,0.6484,0.3516,,2335703,239026520.59,,
2018-01-17,'399307,深证转债,184.4281,185.4243,183.4969,184.6081,184.5247,-0.0966,-0.0524,,2492686,247824871.068,,
2018-01-16,'399307,深证转债,184.5247,184.9917,184.4632,184.7083,184.6735,-0.1488,-0.0806,,1560711,156296391.237,,
2018-01-15,'399307,深证转债,184.6735,186.6803,184.6438,186.5784,186.6871,-2.0136,-1.0786,,1987953,202526787.371,,
2018-01-12,'399307,深证转债,186.6871,187.1092,186.5642,187.0468,187.1066,-0.4195,-0.2242,,1912916,198756533.554,,
2018-01-11,'399307,深证转债,187.1066,187.1693,185.9555,186.6534,186.6885,0.4181,0.224,,1552818,157602971.779,,
2018-01-10,'399307,深证转债,186.6885,187.6209,186.0098,187.6209,187.6665,-0.978,-0.5211,,2281942,237491227.894,,
2018-01-09,'399307,深证转债,187.6665,188.7916,187.4513,188.6223,188.7128,-1.0463,-0.5544,,2329277,241544331.246,,
2018-01-08,'399307,深证转债,188.7128,189.301,188.5189,188.6883,188.3812,0.3316,0.176,,4794759,499285321.788,,
2018-01-05,'399307,深证转债,188.3812,188.4574,186.6273,186.7681,186.7781,1.6031,0.8583,,4043650,414941980.873,,
2018-01-04,'399307,深证转债,186.7781,186.8322,185.4452,185.9428,185.9346,0.8435,0.4537,,3981847,415930090.174,,
2018-01-03,'399307,深证转债,185.9346,185.9703,183.979,184.3015,184.2812,1.6534,0.8972,,4454826,467581224.871,,
2018-01-02,'399307,深证转债,184.2812,184.3297,182.459,182.459,182.419,1.8622,1.0208,,3357488,343087760.912,,
2017-12-29,'399307,深证转债,182.419,182.6081,181.303,181.6081,181.5835,0.8355,0.4601,,804203,80953177.642,,
2017-12-28,'399307,深证转债,181.5835,181.999,181.1708,181.535,181.361,0.2225,0.1227,,1052591,101324476.255,,
2017-12-27,'399307,深证转债,181.361,182.9491,181.3286,182.9362,182.9364,-1.5754,-0.8612,,967863,97039049.559,,
2017-12-26,'399307,深证转债,182.9364,183.4643,182.5305,183.4643,183.4452,-0.5088,-0.2774,,1370198,135991910.931,,
2017-12-25,'399307,深证转债,183.4452,184.8033,183.0372,184.0713,184.1681,-0.7229,-0.3925,,2301596,238257706.412,,
2017-12-22,'399307,深证转债,184.1681,184.5475,182.7753,183.3213,183.3195,0.8486,0.4629,,1401283,148928034.377,,
2017-12-21,'399307,深证转债,183.3195,183.8403,182.073,182.2955,182.3286,0.9909,0.5435,,1398547,145466989.007,,
2017-12-20,'399307,深证转债,182.3286,183.3667,182.2922,183.2464,183.2464,-0.9178,-0.5009,,1038127,105204221.528,,
2017-12-19,'399307,深证转债,183.2464,183.2962,182.4319,182.6303,182.9217,0.3247,0.1775,,1803422,182066124.247,,
2017-12-18,'399307,深证转债,182.9217,183.354,182.7484,183.2005,183.1854,-0.2637,-0.144,,709950,70043471.331,,
2017-12-15,'399307,深证转债,183.1854,183.4581,182.7936,183.3887,183.3787,-0.1933,-0.1054,,642769,65496307.079,,
2017-12-14,'399307,深证转债,183.3787,183.8493,182.9917,183.3566,183.3566,0.0221,0.0121,,725203,74254305.768,,
2017-12-13,'399307,深证转债,183.3566,183.3968,181.8151,183.0391,183.0157,0.3409,0.1863,,687293,71636563.799,,
2017-12-12,'399307,深证转债,183.0157,185.0665,183.0157,184.926,184.8442,-1.8285,-0.9892,,621293,63476696.009,,
2017-12-11,'399307,深证转债,184.8442,185.5422,182.8905,183.7644,183.4224,1.4218,0.7752,,1640569,167509556.695,,
2017-12-08,'399307,深证转债,183.4224,183.6297,180.1656,180.4585,180.4554,2.967,1.6442,,1632324,162893149.725,,
2017-12-07,'399307,深证转债,180.4554,180.6496,178.9164,178.9164,179.0767,1.3787,0.7699,,1642718,163451652.0,,
2017-12-06,'399307,深证转债,179.0767,179.712,178.5201,178.7665,179.1123,-0.0356,-0.0199,,1932515,193877088.957,,
2017-12-05,'399307,深证转债,179.1123,180.2672,178.9631,179.9471,180.7936,-1.6813,-0.93,,1813967,182348223.278,,
2017-12-04,'399307,深证转债,180.7936,182.6563,179.9448,182.6563,182.6487,-1.8551,-1.0157,,3089339,308851151.328,,
2017-12-01,'399307,深证转债,182.6487,184.7895,182.5119,184.6056,184.7032,-2.0545,-1.1123,,2344284,238246864.328,,
2017-11-30,'399307,深证转债,184.7032,185.5994,184.4977,185.0842,185.0772,-0.374,-0.2021,,1357721,145170617.937,,
